camera      0 0 5    0 0 0       0 1 0  45
light       0 10 5
sphere 0.81 0.14 0.03     1     0     8.9 -3.0 -5.5     0.4
sphere 0.17 0.94 0.13     1     0     7.3 8.9 -9.7     0.9
sphere 0.11 0.75 0.54     1     0     -9.2 -9.3 -4.5     0.4
sphere 0.29 0.64 0.77     1     0     -9.4 4.3 -5.2     0.9
sphere 0.53 0.28 0.57     1     0     5.0 -2.9 -9.1     0.1
sphere 0.97 0.2 0.89     1     0     0.8 -1.3 -5.7     0.3
sphere 0.27 0.97 0.43     1     0     -7.4 -7.7 -6.4     0.2
sphere 0.45 0.44 0.77     1     0     -3.3 -8.9 -8.6     0.8
sphere 0.68 0.15 0.48     1     0     -8.0 4.1 -5.8     0.6
sphere 0.73 0.24 0.9     1     0     -8.3 -8.9 -8.2     0.4
sphere 0.98 0.37 0.1     1     0     -4.1 -7.5 -6.4     0.5
sphere 0.58 0.81 0.46     1     0     -5.9 -0.6 -6.2     0.4
sphere 0.85 0.34 0.89     1     0     7.4 6.5 -4.4     0.3
sphere 0.68 0.93 0.31     1     0     -5.9 1.8 -6.4     0.5
sphere 0.81 0.88 0.71     1     0     -4.4 7.5 -6.0     0.1
sphere 0.29 0.04 0.4     1     0     0.2 -3.2 -4.4     0.4
sphere 0.72 0.91 0.4     1     0     -4.6 6.7 -7.1     0.7
sphere 0.82 0.58 0.18     1     0     -3.3 -6.5 -5.5     0.9
sphere 0.68 0.33 0.95     1     0     4.9 0.9 -9.7     0.7
sphere 0.46 0.28 0.17     1     0     3.0 2.6 -4.5     0.1
sphere 0.14 0.19 0.8     1     0     -6.0 7.4 -6.7     0.2
sphere 0.49 0.48 0.76     1     0     1.9 3.5 -5.6     0.9
sphere 0.01 0.87 0.92     1     0     -7.1 7.4 -9.6     0.9
sphere 0.96 0.34 0.98     1     0     6.4 -1.3 -4.7     0.5
sphere 0.55 0.2 0.58     1     0     -10.0 8.4 -9.6     0.5
sphere 0.64 0.97 0.22     1     0     2.9 -7.3 -9.5     0.5
sphere 0.81 0.64 0.77     1     0     -5.0 -6.1 -6.3     0.3
sphere 0.69 0.99 0.67     1     0     -10.0 5.3 -6.0     0.8
sphere 0.02 0.14 0.46     1     0     -2.2 -3.9 -4.3     0.4
sphere 0.72 0.1 0.1     1     0     8.7 2.4 -9.2     0.2
sphere 0.97 0.68 0.98     1     0     -6.8 -6.8 -8.2     0.8
sphere 0.7 0.21 0.33     1     0     3.5 5.5 -6.7     0.4
sphere 0.69 0.96 0.93     1     0     7.6 -4.9 -8.5     0.5
sphere 0.51 0.85 0.83     1     0     -0.5 1.2 -9.7     0.9
sphere 0.57 0.15 0.31     1     0     -4.3 -8.4 -6.1     0.1
sphere 0.75 0.7 0.29     1     0     5.0 -4.4 -4.0     0.2
sphere 0.9 0.8 0.07     1     0     -4.2 -8.3 -9.7     0.1
sphere 0.42 0.09 0.65     1     0     -4.0 -2.9 -8.2     0.8
sphere 0.27 0.69 0.16     1     0     8.5 4.6 -7.6     0.8
sphere 0.31 0.6 0.52     1     0     -5.2 -7.6 -4.6     0.7
sphere 0.45 0.54 0.52     1     0     1.9 8.6 -4.3     0.2
sphere 0.07 0.51 0.93     1     0     -1.4 -7.3 -5.5     0.4
sphere 0.24 0.68 0.57     1     0     -6.5 0.8 -5.1     0.5
sphere 0.59 0.31 0.09     1     0     1.3 4.0 -4.6     0.1
sphere 0.83 0.69 0.01     1     0     -7.7 9.2 -9.4     0.4
sphere 0.21 0.52 0.62     1     0     2.3 -4.6 -9.5     0.7
sphere 0.07 0.21 0.48     1     0     -10.0 -0.1 -5.6     0.8
sphere 0.36 0.54 0.89     1     0     8.7 4.2 -8.2     0.8
sphere 0.19 0.24 0.37     1     0     -4.5 -8.6 -7.7     0.9
sphere 0.07 0.95 0.4     1     0     -8.6 -8.8 -7.7     0.8
sphere 0.64 0.67 0.2     1     0     -8.6 3.0 -4.5     0.3
sphere 0.08 0.76 0.08     1     0     7.2 -4.0 -6.5     0.2
sphere 0.72 0.31 0.74     1     0     5.2 -9.0 -7.9     0.2
sphere 0.53 0.84 0.74     1     0     4.4 3.3 -6.0     0.5
sphere 0.26 0.85 0.91     1     0     -2.0 -3.9 -5.6     0.7
sphere 0.16 0.85 0.82     1     0     -2.4 1.7 -6.0     0.2
sphere 0.01 0.58 0.79     1     0     4.4 -7.5 -4.4     0.9
sphere 0.27 0.64 0.33     1     0     -6.7 -1.1 -9.6     0.2
sphere 0.31 0.47 0.36     1     0     -6.0 1.2 -9.3     0.9
sphere 0.9 0.38 0.78     1     0     6.7 3.5 -4.0     0.9
sphere 0.38 0.84 0.13     1     0     -6.6 -3.3 -4.7     0.2
sphere 0.95 0.7 0.19     1     0     -3.1 -2.8 -7.8     0.4
sphere 0.91 0.43 0.26     1     0     7.5 6.2 -9.4     0.5
sphere 0.64 0.62 0.32     1     0     -8.7 -7.7 -8.0     0.7
sphere 0.35 0.05 0.0     1     0     -1.5 9.7 -4.8     0.5
sphere 0.2 0.94 0.56     1     0     4.1 8.0 -6.7     0.9
sphere 0.01 0.14 0.09     1     0     7.6 -6.2 -7.4     0.1
sphere 0.47 0.74 0.7     1     0     -6.3 1.0 -4.8     0.1
sphere 0.39 0.46 0.05     1     0     -0.9 -4.7 -8.3     0.4
sphere 0.85 0.13 0.45     1     0     9.9 4.3 -9.6     0.7
sphere 0.79 0.95 0.19     1     0     -4.0 -5.9 -9.1     0.3
sphere 0.52 0.03 0.22     1     0     8.8 -1.5 -9.0     0.7
sphere 0.85 0.94 0.31     1     0     -3.2 -6.0 -9.0     0.2
sphere 0.48 0.04 0.6     1     0     -4.4 -4.9 -9.2     0.8
sphere 0.44 0.39 0.29     1     0     -4.3 -9.4 -8.2     0.4
sphere 0.51 0.42 0.35     1     0     -8.3 9.7 -5.7     0.6
sphere 0.82 0.65 0.51     1     0     7.3 3.7 -6.1     0.1
sphere 0.14 0.33 0.22     1     0     4.8 -3.3 -4.2     0.2
sphere 0.76 0.55 0.44     1     0     8.6 -2.0 -6.7     0.9
sphere 0.14 0.49 0.73     1     0     -5.2 -3.5 -4.2     0.7
sphere 0.0 0.66 0.68     1     0     7.5 8.4 -8.7     0.4
sphere 0.46 0.55 0.08     1     0     7.0 -1.6 -7.9     0.6
sphere 0.84 0.15 0.92     1     0     -2.4 2.9 -5.9     0.7
sphere 0.41 0.51 0.89     1     0     -2.5 4.1 -4.8     0.4
sphere 0.53 0.85 0.48     1     0     7.3 9.1 -9.7     0.3
sphere 0.78 0.72 0.38     1     0     0.3 4.0 -9.3     0.1
sphere 0.38 0.36 0.26     1     0     1.0 4.8 -7.8     0.6
sphere 0.59 0.56 0.56     1     0     7.2 -4.6 -7.2     0.8
sphere 0.94 0.21 0.84     1     0     -7.9 -2.8 -7.2     0.6
sphere 0.11 0.96 0.3     1     0     7.2 -2.1 -5.4     0.4
sphere 0.18 0.03 0.05     1     0     -3.8 2.1 -7.9     0.2
sphere 0.58 0.53 0.8     1     0     4.7 -5.1 -8.5     0.7
sphere 0.63 0.51 0.31     1     0     -6.3 6.7 -8.4     0.1
sphere 0.96 0.98 0.13     1     0     9.9 0.8 -5.4     0.3
sphere 0.89 0.66 0.59     1     0     -8.8 4.2 -5.5     0.2
sphere 0.58 0.17 0.59     1     0     7.0 3.5 -7.5     0.6
sphere 0.96 0.56 0.78     1     0     8.4 2.9 -6.7     0.9
sphere 0.57 0.2 0.95     1     0     2.1 1.5 -5.6     0.4
sphere 0.81 0.35 0.98     1     0     9.9 3.3 -7.1     0.4
sphere 0.35 0.56 0.09     1     0     8.2 -2.7 -5.5     0.5
sphere 0.42 0.4 0.69     1     0     -8.0 -6.5 -4.9     0.4
sphere 0.49 0.88 0.19     1     0     8.0 -4.6 -4.4     0.7
sphere 0.52 0.42 0.69     1     0     1.9 0.6 -4.3     0.4
sphere 0.53 0.49 0.98     1     0     4.9 7.8 -4.1     0.7
sphere 0.61 0.0 0.45     1     0     -2.4 9.2 -6.4     0.7
sphere 0.68 0.95 0.94     1     0     3.9 5.4 -9.7     0.4
sphere 0.62 0.28 0.34     1     0     1.1 2.4 -4.1     0.7
